"degree","normalised.degree","nestedrank","betweenness","weighted.betweenness","closeness","weighted.closeness","evcent","Taxon","Endemicity","site","max.degree","missing.degree"
1,0.00632911392405063,0.555555555555556,0,0,0.00813867455871472,0.00218134507141373,0.00849414504506897,"Emoloana eragrosticola","Endem","Hal",158,157
1,0.00632911392405063,0.564814814814815,0,0,0.00724024944509037,0.00212273431867586,0.00440701565560463,"Engytatus sidae","Endem","Hal",158,157
6,0.0379746835443038,0.333333333333333,0.0514906547513139,0.0261801767914237,0.0134235281682697,0.00421858133020279,0.0747175068026016,"Glyptonysius amicola","Cosmo","Hal",158,152
8,0.0506329113924051,0.259259259259259,0.0279909198276545,0.0120368628926086,0.0113095867244477,0.00464138487554971,0.13757321418545,"Iolania mauiensis","Endem","Hal",158,150
1,0.00632911392405063,0.574074074074074,0,0,0.0112743543670507,0.00245486199351728,0.0305713144106371,"Leialoha lehuae","Cosmo","Hal",158,157
1,0.00632911392405063,0.583333333333333,0,0,0.0112743543670507,0.00245486199351728,0.0305713144106371,"Leialoha ohiae","Cosmo","Hal",158,157
1,0.00632911392405063,0.592592592592593,0,0,0.0112743543670507,0.00245486199351728,0.0305713144106371,"Leialoha mauiensis","Endem","Hal",158,157
5,0.0316455696202532,0.37037037037037,0.018431934443339,0.00361105886778258,0.0125427192333439,0.00391013895237115,0.0791054649721254,"Metrarga nuda","Cosmo","Hal",158,153
12,0.0759493670886076,0.111111111111111,0.0310324823994808,0.0111456720822905,0.0128950428073142,0.00497323081394737,0.68276672750614,"Neseis mauiensis","Cosmo","Hal",158,146
3,0.0189873417721519,0.425925925925926,0.00407947799226891,0.000827534323866842,0.0103583130747278,0.00361625304817956,0.0254246921632863,"Neseis nitidus nitidus","Endem","Hal",158,155
13,0.0822784810126582,0.0925925925925926,0.0326388725262791,0.0213770055410078,0.0120494662297854,0.00489987918958354,0.645628626578777,"Neseis saundersianus","Cosmo","Hal",158,145
1,0.00632911392405063,0.601851851851852,0,0,0.00801536130782511,0.00217927691453109,0.00673663081396476,"Neseis kirkaldyi","Endem","Hal",158,157
12,0.0759493670886076,0.12037037037037,0.0310324823994808,0.0112961328684481,0.0128950428073142,0.00497323081394737,0.68276672750614,"Neseis mauiensis pallidipennis","Endem","Hal",158,146
1,0.00632911392405063,0.611111111111111,0,0,0.00762780537645774,0.00181276142770754,0.00035538417828063,"Neseis pallida","Endem","Hal",158,157
2,0.0126582278481013,0.462962962962963,0,0,0.0097945953563753,0.00333214625345792,0.0179934166570437,"Neseis hiloensis approximatus","Endem","Hal",158,156
2,0.0126582278481013,0.472222222222222,0,0,0.00782158334214142,0.00297041813262392,0.0235143045620297,"Neseis ampliata","Endem","Hal",158,156
1,0.00632911392405063,0.62037037037037,0,0,0.00988267624986788,0.00230254741095362,0.0215110130868895,"Neseis neochinai","Endem","Hal",158,157
1,0.00632911392405063,0.62962962962963,0,0,0,NA,5.1005909768245e-17,"Neseis pallassatus","Endem","Hal",158,157
1,0.00632911392405063,0.638888888888889,0,0,0.00988267624986788,0.00230254741095362,0.0215110130868895,"Nesiomiris kraussi","Endem","Hal",158,157
1,0.00632911392405063,0.648148148148148,0,0,0.00988267624986788,0.00230254741095362,0.0215110130868896,"Nesiomiris rufonotus","Endem","Hal",158,157
1,0.00632911392405063,0.657407407407407,0,0,0.00988267624986788,0.00230254741095362,0.0215110130868895,"Nesiomiris cheliferus","Endem","Hal",158,157
1,0.00632911392405063,0.666666666666667,0,0,0.000211394144382201,NA,4.60061932426232e-17,"Nesiomiris byroniae","Endem","Hal",158,157
1,0.00632911392405063,0.675925925925926,0,0,0.000211394144382201,NA,5.37315339429224e-17,"Nesiomiris kawau","Endem","Hal",158,157
1,0.00632911392405063,0.685185185185185,0,0,0.00961843356939013,0.00224961534845507,0.0203942547226533,"Nesophrosyne montium","Endem","Hal",158,157
1,0.00632911392405063,0.694444444444444,0,0,0.00961843356939013,0.00224961534845507,0.0203942547226533,"Nesophrosyne silvigena","Cosmo","Hal",158,157
8,0.0506329113924051,0.268518518518519,4.24286138571853e-05,1.15739066275083e-05,0.0111334249374626,0.00488259563283684,0.615175561094512,"Nesophryne alticola","Endem","Hal",158,150
8,0.0506329113924051,0.277777777777778,4.24286138571853e-05,1.15739066275083e-05,0.0111334249374626,0.00488259563283684,0.615175561094512,"Nesophrosyne caelicola","Endem","Hal",158,150
4,0.0253164556962025,0.398148148148148,0,0,0.00856146284747913,0.00218234774008845,0.00805400475728968,"Nesophrosyne ehu","Endem","Hal",158,154
1,0.00632911392405063,0.703703703703704,0,0,0.00801536130782511,0.00217927691453109,0.00673663081396476,"Nesophryne kaiamamao","Endem","Hal",158,157
5,0.0316455696202532,0.37962962962963,0.00580902904800206,0,0.0118733044428003,0.00441581985580134,0.166852721892368,"Nesophrosyne notatula","Endem","Hal",158,153
1,0.00632911392405063,0.712962962962963,0,0,0.00801536130782511,0.00217927691453109,0.00673663081396476,"Nesophrosyne nuenue","Endem","Hal",158,157
8,0.0506329113924051,0.287037037037037,4.24286138571853e-05,1.15739066275083e-05,0.0111334249374626,0.00488259563283684,0.615175561094511,"Nesophrosyne obliqua","Endem","Hal",158,150
2,0.0126582278481013,0.481481481481481,0,0,0.00813867455871472,0.00309966488532931,0.0169163941052061,"Nesosteles volcanicola","Cosmo","Hal",158,156
1,0.00632911392405063,0.722222222222222,0,0,0.0100412218581545,0.00237255956342603,0.0150837061588391,"Nesosydne koae","Cosmo","Hal",158,157
1,0.00632911392405063,0.731481481481482,0,0,0,NA,4.41719808465595e-17,"Nesosydne nesopele","Cosmo","Hal",158,157
1,0.00632911392405063,0.740740740740741,0,0,0.0100412218581545,0.00237255956342603,0.0150837061588391,"Nesosydne pseudorubescens","Cosmo","Hal",158,157
1,0.00632911392405063,0.75,0,0,0.0101469189303456,0.00228541171197516,0.0263368809405837,"Nesosydne cyathodis","Cosmo","Hal",158,157
23,0.145569620253165,0.037037037037037,0.0573010471749,0.0443107015234154,0.0124370221611528,0.00491547565944258,0.226258279500662,"Nesosydne ipomoeicola","Cosmo","Hal",158,135
2,0.0126582278481013,0.490740740740741,0,0,0,NA,1.00592907743391e-16,"Nesosydne nephrolepidis","Cosmo","Hal",158,156
1,0.00632911392405063,0.759259259259259,0,0,0.0100412218581545,0.00237255956342603,0.0150837061588391,"Nesosydne rubescens","Cosmo","Hal",158,157
28,0.177215189873418,0.0185185185185185,0.0392449296672276,0.0620274590934738,0.0119437691575943,0.00502082549522526,0.199482820479671,"Nesosydne umbratica","Cosmo","Hal",158,130
13,0.0822784810126582,0.101851851851852,0.0127698625147605,0.0749294715064886,0.0103583130747278,0.00353481973182346,0.0218725622564332,"Nesosydne waikamoiensis","Endem","Hal",158,145
2,0.0126582278481013,0.5,0,0,0.0097945953563753,0.00333214625345792,0.0179934166570437,"Nesosydne mamake","Endem","Hal",158,156
4,0.0253164556962025,0.407407407407407,0,0,0.0103583130747278,0.0042969598299045,0.0888834200414236,"Nesosydne amaumau","Endem","Hal",158,154
