"siteCode","name","island","age_mya","metric","null.mod","nsim","statistic.mean","statistic.ciLo","statistic.ciHi","z.value.mean","z.value.ciLo","z.value.ciHi","rfy"
"KoK","Kokee","Kauai",5.1000,"mod.rand.walk","prob.null1",1000, 0.6807414, 0.6269580, 0.7847602, 0.80560400,-2.14560937, 3.85045604,120
"Kil","Kilauea","Hawaii",0.0003,"nmod.dendro","prob.null1",1000,23.1000000,19.0000000,27.0000000,-1.07805124,-2.67535651, 0.60487053,120
"Koh","Kohala","Hawaii",0.1500,"nmod.dendro","prob.null1",1000,20.3200000,15.2250000,24.0000000,-1.47445009,-3.05070005,-0.34617660,120
"Hal","Haleakala","Maui",0.7500,"nmod.dendro","prob.null1",1000,24.4800000,20.2250000,28.0000000,-0.32024254,-1.46167373, 0.70863910,120
"KoK","Kokee","Kauai",5.1000,"nmod.dendro","prob.null1",1000,27.0200000,21.4500000,32.0000000,-0.89108203,-2.27444315, 0.61781168,120
"Kil","Kilauea","Hawaii",0.0003,"nmod.rand.walk","prob.null1",1000,28.4800000,22.2250000,34.5500000,-3.36859921,-4.35827993,-2.50878631,120
"Koh","Kohala","Hawaii",0.1500,"nmod.rand.walk","prob.null1",1000,24.7600000,18.2250000,28.0000000,-2.75154561,-3.66634751,-2.23966569,120
"Hal","Haleakala","Maui",0.7500,"nmod.rand.walk","prob.null1",1000,26.1600000,22.0000000,30.0000000,-4.24801409,-4.98830575,-3.49027114,120
"KoK","Kokee","Kauai",5.1000,"nmod.rand.walk","prob.null1",1000,33.5000000,26.2250000,40.0000000,-3.31096049,-4.31598458,-2.21732178,120
"Kil","Kilauea","Hawaii",0.0003,"nodf","prob.null1",1000, 9.2577037, 7.3758842,11.1391672,15.43214943,12.72074048,18.04318733,120
"Koh","Kohala","Hawaii",0.1500,"nodf","prob.null1",1000, 9.8748564, 8.5210202,10.8835636,14.22094153,12.00523963,16.08135150,120
"Hal","Haleakala","Maui",0.7500,"nodf","prob.null1",1000, 8.5730270, 6.4584579, 9.9043377,14.37719215,11.77855642,16.76204186,120
"KoK","Kokee","Kauai",5.1000,"nodf","prob.null1",1000, 6.1082672, 4.7228106, 7.4358495, 7.18811935, 4.79620398,10.16787672,120
