"siteCode","name","island","age_mya","metric","null.mod","nsim","statistic.mean","statistic.ciLo","statistic.ciHi","z.value.mean","z.value.ciLo","z.value.ciHi","rfy"
"Kil","Kilauea","Hawaii",0.0003,"mod.dendro","prob.null1",1000, 0.6446228, 0.5955154, 0.7013261,-5.75875658,-8.23427133,-3.79958756,105
"Koh","Kohala","Hawaii",0.1500,"mod.dendro","prob.null1",1000, 0.6437029, 0.6075581, 0.6944415,-5.97280974,-7.65791084,-4.14128443,105
"Hal","Haleakala","Maui",0.7500,"mod.dendro","prob.null1",1000, 0.6798749, 0.6398889, 0.7229033,-0.72508342,-3.58242475, 1.98919617,105
"KoK","Kokee","Kauai",5.1000,"mod.dendro","prob.null1",1000, 0.7295733, 0.6572272, 0.8277585,-0.42217728,-4.28243274, 3.78408046,105
"Kil","Kilauea","Hawaii",0.0003,"mod.rand.walk","prob.null1",1000, 0.6281487, 0.5824285, 0.6916446,-2.63428607,-4.67514152,-0.93941670,105
"Koh","Kohala","Hawaii",0.1500,"mod.rand.walk","prob.null1",1000, 0.6146685, 0.5540805, 0.6813572,-4.12007120,-6.05984260,-2.12342267,105
"Hal","Haleakala","Maui",0.7500,"mod.rand.walk","prob.null1",1000, 0.6631847, 0.6224445, 0.7248334, 1.49472333,-1.02119679, 4.05111863,105
"KoK","Kokee","Kauai",5.1000,"mod.rand.walk","prob.null1",1000, 0.7080788, 0.6025927, 0.8246623, 0.63850197,-4.07389986, 4.52493807,105
"Kil","Kilauea","Hawaii",0.0003,"nmod.dendro","prob.null1",1000,22.8000000,17.2250000,27.0000000,-1.17108309,-2.95489876, 0.22839672,105
"Koh","Kohala","Hawaii",0.1500,"nmod.dendro","prob.null1",1000,18.6600000,14.0000000,22.7750000,-1.91625739,-3.60287642,-0.44206421,105
"Hal","Haleakala","Maui",0.7500,"nmod.dendro","prob.null1",1000,22.4200000,18.2250000,26.7750000,-0.89280017,-2.33814254, 0.48492549,105
"KoK","Kokee","Kauai",5.1000,"nmod.dendro","prob.null1",1000,25.1600000,19.0000000,32.5500000,-1.27799752,-3.21503734, 0.65159992,105
"Kil","Kilauea","Hawaii",0.0003,"nmod.rand.walk","prob.null1",1000,26.7200000,21.0000000,32.0000000,-2.95785828,-3.98248495,-1.77484691,105
"Koh","Kohala","Hawaii",0.1500,"nmod.rand.walk","prob.null1",1000,21.0000000,15.2250000,26.0000000,-2.91885816,-4.01915816,-2.03811144,105
"Hal","Haleakala","Maui",0.7500,"nmod.rand.walk","prob.null1",1000,24.4400000,19.2250000,30.5500000,-4.00001874,-4.77567941,-2.84332961,105
"KoK","Kokee","Kauai",5.1000,"nmod.rand.walk","prob.null1",1000,29.2800000,21.2250000,37.0000000,-3.09392157,-4.39729363,-1.90070543,105
"Kil","Kilauea","Hawaii",0.0003,"nodf","prob.null1",1000, 9.6711769, 7.7102385,11.7002024,14.48768458,11.96093517,17.43619789,105
"Koh","Kohala","Hawaii",0.1500,"nodf","prob.null1",1000, 9.7514935, 7.2884411,11.5406852,12.41141601, 9.60829357,15.24301088,105
"Hal","Haleakala","Maui",0.7500,"nodf","prob.null1",1000, 8.9783304, 7.6039024,10.5726995,13.28851553,10.74935557,16.28671634,105
"KoK","Kokee","Kauai",5.1000,"nodf","prob.null1",1000, 6.3473626, 4.2466287, 8.3225220, 6.91699914, 3.10023568,10.88482720,105
"Kil","Kilauea","Hawaii",0.0003,"mod.dendro","prob.null1",1000, 0.6457049, 0.6029205, 0.7301564,-5.05767787,-7.24265612,-2.46706984,120
"Koh","Kohala","Hawaii",0.1500,"mod.dendro","prob.null1",1000, 0.6310972, 0.6105036, 0.6757080,-6.04126741,-6.97030610,-4.63435373,120
"Hal","Haleakala","Maui",0.7500,"mod.dendro","prob.null1",1000, 0.6822659, 0.6519494, 0.7488802, 0.97856867,-1.49419943, 2.90270655,120
"KoK","Kokee","Kauai",5.1000,"mod.dendro","prob.null1",1000, 0.7120092, 0.6661812, 0.7924125,-0.27284285,-2.72983509, 2.71109000,120
"Kil","Kilauea","Hawaii",0.0003,"mod.rand.walk","prob.null1",1000, 0.6300467, 0.5931170, 0.7088928,-1.48847402,-3.37430773, 0.02796388,120
"Koh","Kohala","Hawaii",0.1500,"mod.rand.walk","prob.null1",1000, 0.5958536, 0.5662938, 0.6582686,-3.96054229,-5.07239125,-1.99754967,120
"Hal","Haleakala","Maui",0.7500,"mod.rand.walk","prob.null1",1000, 0.6616817, 0.6191168, 0.7397041, 3.16383251, 0.77229360, 5.00270727,120
"KoK","Kokee","Kauai",5.1000,"mod.rand.walk","prob.null1",1000, 0.6807414, 0.6269580, 0.7847602, 0.79496710,-2.11616778, 3.83819567,120
"Kil","Kilauea","Hawaii",0.0003,"nmod.dendro","prob.null1",1000,23.1000000,19.0000000,27.0000000,-1.06856769,-2.72297290, 0.61663538,120
"Koh","Kohala","Hawaii",0.1500,"nmod.dendro","prob.null1",1000,20.3200000,15.2250000,24.0000000,-1.48286143,-3.04133479,-0.36634337,120
"Hal","Haleakala","Maui",0.7500,"nmod.dendro","prob.null1",1000,24.4800000,20.2250000,28.0000000,-0.31440071,-1.48576707, 0.73905600,120
"KoK","Kokee","Kauai",5.1000,"nmod.dendro","prob.null1",1000,27.0200000,21.4500000,32.0000000,-0.89150136,-2.27360171, 0.60658075,120
"Kil","Kilauea","Hawaii",0.0003,"nmod.rand.walk","prob.null1",1000,28.4800000,22.2250000,34.5500000,-3.36691800,-4.35236142,-2.57507264,120
"Koh","Kohala","Hawaii",0.1500,"nmod.rand.walk","prob.null1",1000,24.7600000,18.2250000,28.0000000,-2.74186568,-3.59488657,-2.25172579,120
"Hal","Haleakala","Maui",0.7500,"nmod.rand.walk","prob.null1",1000,26.1600000,22.0000000,30.0000000,-4.27759085,-4.96688664,-3.47927575,120
"KoK","Kokee","Kauai",5.1000,"nmod.rand.walk","prob.null1",1000,33.5000000,26.2250000,40.0000000,-3.29623032,-4.38902599,-2.23713062,120
"Kil","Kilauea","Hawaii",0.0003,"nodf","prob.null1",1000, 9.2577037, 7.3758842,11.1391672,15.47285743,12.77178662,18.67145118,120
"Koh","Kohala","Hawaii",0.1500,"nodf","prob.null1",1000, 9.8748564, 8.5210202,10.8835636,14.22523446,12.15113121,15.75188172,120
"Hal","Haleakala","Maui",0.7500,"nodf","prob.null1",1000, 8.5730270, 6.4584579, 9.9043377,14.34009223,11.91653459,17.00887948,120
"KoK","Kokee","Kauai",5.1000,"nodf","prob.null1",1000, 6.1082672, 4.7228106, 7.4358495, 7.12810347, 4.81469098,10.21588423,120
