Sites,plantName,GRIDCODE,Lat,Long
Kiluea,dordeco,2,19.4140,-155.2380
Kiluea,drycrin,1,19.4140,-155.2380
Kiluea,dryfusc,1,19.4140,-155.2380
Kiluea,dryglab,2,19.4140,-155.2380
Kiluea,dryhawa,1,19.4140,-155.2380
Kiluea,drymaui,1,19.4140,-155.2380
Kiluea,drysand,2,19.4140,-155.2380
Kiluea,dryunid,1,19.4140,-155.2380
Kiluea,drywall,2,19.4140,-155.2380
Kiluea,dubcili,2,19.4140,-155.2380
Kiluea,dubline,2,19.4140,-155.2380
Kiluea,dubplan,1,19.4140,-155.2380
Kiluea,dubscab,2,19.4140,-155.2380
Kiluea,elaaemu,1,19.4140,-155.2380
Kiluea,elaalat,1,19.4140,-155.2380
Kiluea,elacras2,2,19.4140,-155.2380
Kiluea,elapale,2,19.4140,-155.2380
Kiluea,elaparv,2,19.4140,-155.2380
Kiluea,elapell,2,19.4140,-155.2380
Kiluea,elawawr,2,19.4140,-155.2380
Kiluea,eleobtu,2,19.4140,-155.2380
Kiluea,embpaci,2,19.4140,-155.2380
Kiluea,eragran,2,19.4140,-155.2380
Kiluea,eravari,2,19.4140,-155.2380
Kiluea,eursand,2,19.4140,-155.2380
Kiluea,exogaud,2,19.4140,-155.2380
Kiluea,fimdich,2,19.4140,-155.2380
Kiluea,frearbo,2,19.4140,-155.2380
Kiluea,gahbeec,1,19.4140,-155.2380
Kiluea,grahook,2,19.4140,-155.2380
Kiluea,gratene,2,19.4140,-155.2380
Kiluea,gunpeta,1,19.4140,-155.2380
Kiluea,hibkoki,1,19.4140,-155.2380
Kiluea,huperos,2,19.4140,-155.2380
Kiluea,huperub,1,19.4140,-155.2380
Kiluea,hupfili,2,19.4140,-155.2380
Kiluea,hupmann,1,19.4140,-155.2380
Kiluea,hupserr,1,19.4140,-155.2380
Kiluea,hupstem,1,19.4140,-155.2380
Kiluea,hymobtu,2,19.4140,-155.2380
Kiluea,hymrecu,2,19.4140,-155.2380
Kiluea,hyphawa,1,19.4140,-155.2380
Kiluea,ileanom,2,19.4140,-155.2380
Kiluea,ipoindi,2,19.4140,-155.2380
Kiluea,isadist,2,19.4140,-155.2380
Kiluea,joiasce,2,19.4140,-155.2380
Kiluea,kadacum,1,19.4140,-155.2380
Kiluea,kadaffi,2,19.4140,-155.2380
Kiluea,kadaxil,2,19.4140,-155.2380
Kiluea,kadcent,2,19.4140,-155.2380
Kiluea,korcomp,2,19.4140,-155.2380
Kiluea,korcyli,1,19.4140,-155.2380
Kiluea,korlati,1,19.4140,-155.2380
Kiluea,korremy,1,19.4140,-155.2380
Kiluea,labhedy,2,19.4140,-155.2380
Kiluea,labhirt,2,19.4140,-155.2380
Kiluea,labtini,1,19.4140,-155.2380
Kiluea,lacfili,2,19.4140,-155.2380
Kiluea,lelsaff,2,19.4140,-155.2380
Kiluea,leptame,2,19.4140,-155.2380
Kiluea,lepthun,2,19.4140,-155.2380
Kiluea,liphawa,2,19.4140,-155.2380
Kiluea,lobhypo,1,19.4140,-155.2380
Kiluea,luzhawa,2,19.4140,-155.2380
Kiluea,lyccern,2,19.4140,-155.2380
Kiluea,lycvenu,2,19.4140,-155.2380
Kiluea,macangu,2,19.4140,-155.2380
Kiluea,macmari,2,19.4140,-155.2380
Kiluea,mardoug,2,19.4140,-155.2380
Kiluea,mecrecu,2,19.4140,-155.2380
Kiluea,melclus,2,19.4140,-155.2380
Kiluea,melhawa,2,19.4140,-155.2380
Kiluea,melpseu,2,19.4140,-155.2380
Kiluea,melradi,2,19.4140,-155.2380
Kiluea,melvolc,2,19.4140,-155.2380
Kiluea,metpoly,2,19.4140,-155.2380
Kiluea,micspel,2,19.4140,-155.2380
Kiluea,micstri,2,19.4140,-155.2380
Kiluea,morgahn,2,19.4140,-155.2380
Kiluea,myosand,2,19.4140,-155.2380
