Order,Family,subfamily,Tribe,Genus and species,Genus,Species,Author,Status ,Kau ,Kil,Ola,Lau,Koh,Hal,KoK,Adult Body Size,Trophic Information Simplified,Trophic Information,Host identity (Genus species),Other host information ,Intermediary (eg fungus)if relevant,"Height (Ground, middle or canopy)","Microhabitat (under bark, under leaves, in leaf axils, etc)"
HETEROPTERA,Miridae,,,Pycnoderes quadrimaculatus,Pycnoderes,quadrimaculatus,"Guerin-Meneville, 1857",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,?,herbivore,family is mostly herbivorous,Portulaca sp.,"beans, Cucumis dipsaceus, cucumber, dishloth gourd, garden bean, lima bean, okra, pole bean, Portulaca, pumpkin, spiny cucumber, squash, sweet potato, white mustart cabbage. ",na,"lower, middle",
HETEROPTERA,Lygaeidae,,,Reclada moesta,Reclada,moesta,"White, 1878",adv,no,no,no,no,no,no,prob not,3.5mm,herbivore,"may be herbivorous, may be predaceous","Euphorbia sp., Pritchardia sp.","bunch grass, ",na,"lower, middle, canopy",
HETEROPTERA,Lygaeidae,,,Remaudiereana nigriceps,Remaudiereana,nigriceps,"Dallas, 1852",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,"family is mostly seed feeding, some sap feeding, a couple known predators (such as the wekiu bug, which is from Hawaii and not in our sites)",n.d.,,na,unknown,unknown
HETEROPTERA,Miridae,,,Rhinacloa forticornis,Rhinacloa,forticornis,"Reuter, 1876",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,family is mostly herbivorous,n.d.,,na,unknown,on leaves or stems
HETEROPTERA,Cydnidae,,,Rhytidoporus indentatus,Rhytidoporus,indentatus,"Uhler, 1877",adv,prob not,prob not,prob not,prob not,prob not,no,prob not,,herbivore,herbivore?,n.d.,tend to be crop pests,na,unknown,unknown
HOMOPTERA,Delphacidae,,,Sardia rostrata pluto,Sardia,rostrata pluto,"Kirkaldy, 1906",adv,prob not,prob not,prob not,prob not,prob not,no,prob not,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Cyperus rotundus,,na,lower,on leaves or stems
HOMOPTERA,Flatidae,,,Siphanta acuta,Siphanta,acuta,"Walker, 1851",adv,poss,poss,poss,poss,poss,poss,poss,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Acacia koa, Cheriodendron sp., Coprosma sp., Eucalyptus sp., Psidium sp., Metrosideros polymorpha, Moraea iridioides, Rubus sp., Leptecophylla sp., Rhus sp., Myrsine sp., Tetraplasandra sp.","Acacia, Cheriodendron, Citrus, coffee, Coprosma sp., Eucalyptus, guava, Metrosideros polymorpha, Moraea iridioides, Rubus sp., Leptecophylla sp., sumac, Myrsine sp., Tetraplasandra, many others ",na,"middle, canopy",on leaves or stems
HOMOPTERA,Delphacidae,,,Sogatella kolophon,Sogatella,kolophon,"Kirkaldy, 1907",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Eleusine indica,","various grasses, including Eleusine indica, possibly rice",na,lower,on leaves or stems
HOMOPTERA,Delphacidae,,,Sogatodes eupompe,Sogatodes,eupompe,"Kirkaldy, 1907",adv,prob not,prob not,prob not,prob not,prob not,no,prob not,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,"presumed to be grasses, none recorded",na,lower,on leaves or stems
HETEROPTERA,Miridae,,,Spanagonicus albofasciatus,Spanagonicus,albofasciatus,"Reuter, 1907",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,?,herbivore,family is mostly herbivorous,"Portulaca sp., Amaranthus sp. ","beets, cabbage, cantaloupe, carrots, chard, Chinese spinach, cucumber, daikon, gobo, mustard cabbage, parsley, pigeon pea, squash, turf grasses and watermelon. Key weed hosts for this species are portulaca, or pig weed, and Amaranthus species (spleen, spiny and slender amaranth)",na,"lower, middle",on leaves or stems
HOMOPTERA,Membracidae,,,Spissistilus festinus,Spissistilus,festinus,"Say, 1830",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Crotalaria sp., Leucaena sp., Tribulus cistoides","alfalfa, Crotalaria, garden beans, grasses, Leucaena, potato, Tribulus cistoides",na,middle,on leaves or stems
HETEROPTERA,Miridae,,,Stenotus binotatus,Stenotus,binotatus,"Fabricius, 1794",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,6-7mm,herbivore,family is mostly herbivorous,n.d.,"S. binotatus has been collected from a large variety of plants, including the grasses brown top, Yorkshire fog, cocksfoot, wheat, barley and maize, and many other plants (including rushes, Hypericum, m_nuka, r_t_, Nothofagus, Coriaria, Olearia, Muehlenbeckia, Carmichaelia, Larix decidua, Eucalyptus, Melicytus ramiflorus, Coprosma sp. robusta, p_hutukawa, hemlock and nettles).[5]",na,"lower, middle",on leaves or stems
HETEROPTERA,Tingidae,,,Stephanitis pyrioides,Stephanitis,pyrioides,"Scott, 1874",adv,no,no,no,no,no,no,no,,herbivore,herbivorous,n.d.,,na,,
