Order,Family,subfamily,Tribe,Genus and species,Genus,Species,Author,Status ,Kau ,Kil,Ola,Lau,Koh,Hal,KoK,Adult Body Size,Trophic Information Simplified,Trophic Information,Host identity (Genus species),Other host information ,Intermediary (eg fungus)if relevant,"Height (Ground, middle or canopy)","Microhabitat (under bark, under leaves, in leaf axils, etc)",6,order,notes,Ka,Oa,Mo,Ln,Kh,Ma,Ha,key?,Ku,Mi,Pe,Li,Ly,Ga,Fr,Ne,Na,Nu,Gu,Tu,Ta,Of,Ol,subfamily,tribe
HOMOPTERA,Delphacidae,,,Opiconsiva paludum,Opiconsiva,paludum,"Kirkaldy, 1910",adv,prob not,prob not,prob not,prob not,prob not,no,prob not,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,"grasses, sedges",na,lower,on leaves or stems,5945,5593,,,Oa,Mo,,,,Ha,"Kelisia paludum Kirkaldy 1910, Fauna Hawaiiensis 2(6): 579; Opiconsiva paludum, Asche 1988. Rev. Fr. Entomol. (ns) 10: 198",Ku,Mi,Pe,,Ly,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Peregrinus maidis,Peregrinus,maidis,"Ashmead, 1890",adv,prob not,prob not,prob not,prob not,prob not,prob not,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Zea mays, Sorghum halepense, Saccharum officinarum","corn, soemtimes also: sorghum, sugarcane",na,middle,on leaves or stems,5947,5594,,Ka,Oa,Mo,Ln,,Ma,Ha,"Delphax maikis Ashead, 1890: 323, figs a-g",,,,,,,,,,Nu,,,,,,,
HETEROPTERA,Lygaeidae,,,Peritrechus saskatchewanensis,Peritrechus,saskatchewanensis,"Barber, 1918",adv,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding, a couple known predators (such as the wekiu bug, which is from Hawaii and not in our sites)",n.d.,,na,,,5095,4810,,,Oa,,,,,,,,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Perkinsiella saccharicida,Perkinsiella,saccharicida,"Kirkaldy, 1903",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Saccharum officinarum,"sugarcane, reprted breeding in 7 grasses and 3 sedges also",na,middle,on leaves or stems,5948,5595,,Ka,Oa,Mo,Ln,,Ma,Ha,"Perinsiella saccharicida Kirkaldy, 1903: 179. Genotype",,,,,,,,,,,,,,,,,
HOMOPTERA,Cercopidae,,,Philaenus spumarius,Philaenus,spumarius,"Linnaeus, 1758",adv,poss,poss,poss,poss,poss,no,no,about 6mm,herbivore,herbivorous,"Anagallis arvensis, Artemisia vulgaris, Bidens pilosa minor, Brassica oleracea botrytis, Centaurium umbellatum, Chrysanthemum maximum, Coix lacryma-jobi, Commelina diffusa, Coprosma ernodioides typica, Coprosma rhynchocarpa, Cordyline terminalis, Cynodon dactylon, Cyperus bervifolius, Dactylis glomerata, Dahlia sp., Daucus carota sativa, Dianthus chinensis, Digitaria pruriens, Erigeron albidus, Fuchsia magellanica, Geranium carolinianum australe, Gnaphalium purpureum, Hebe salicifolia, Hibiscus tiliaceus, Holcus lanatus, Hypericum moserianum, Hypochaeris radicata, Ilex anomala, Ipomoea batatas, Lactuca sativa, Lythrum maritimum, Medicago hispida, Mentha sp., Mesembryanthemum sp., Metrosideros sp., Modiola carolina, Myosotis azorica, Oenothera striata, Panicum purpurascens,  Pastinaca sativa, Physalis peruviana, Plantago lanceolata, Pluchea odorata, Dubautia scabra, Raphanus sativus longipinnatus, Rheum rhaponticum, Rubus penetrans, Rumex acetosella, Sacciolepis contracta, Senecio mikanioides, Solidago altissima, Sonchus oleraceus, Stachytarpheta sp., Tibouchina semidecandra, Trifolium procumbens, Tritonia crocosmaeflora, Verbena litoralis, Veronica plebia, Vinca sp., Wikstroemia phillyreaefolia","Anagallis arvensis, Artemisia vulgaris, Bidens pilosa minor, Brassica oleracea botrytis, celery, Centaurium umbellatum, Chrysanthemum maximum, Coix lacryma-jobi, Commelina diffusa, Coprosma sp. ernodioides typica, Coprosma sp. rhynchocarpa, Cordyline terminalis, Cynodon dactylon, Cyperus bervifolius, Dactylis glomerata, Dahlia, Daucus carota sativa, Dianthus chinensis, Digitaria pruriens, Erigeron albidus, Fuchsia magellanica, Geranium carolinianum australe, Gnaphalium purpureum, Hebe salicifolia, Hibiscus tiliaceus, Holcus lanatus, Hypericum moserianum, Hypochaeris radicata, Ilex anomala, Ipomoeae batatas, Lactuca sativa, Lythrum maritimum, Medicago hispida, Mentha, Mesembryanthemum, Metrosideros polymorpha collina polymorpha, Modiola carolina, Myosotis azorica, Oenothera striata, Panicum purpurascens, parsley, Pastinaca sativa, Physalis peruviana, Plantago lanceolata, Pluchea odorata, Dubautia sp. scabra, Raphanus sativus longipinnatus (daikon radish), Rheum rhaponticum, Rubus sp. penetrans, Rumex acetosella, Sacciolepis contracta, satsuma orange, Senecio mikanioides, Solidago altissima, Sonchus oleraceus, Stachytarpheta, strawberry, Tibouchina semidecandra, Trifolium procumbens, Tritonia crocosmaeflora, Verbena litoralis, Veronica plebia, Vinca, Wikstroemia phillyreaefolia",na,"lower, middle, canopy",on leaves or stems,5554,5233,,,,,,,,Ha,"Cicada spumaria Linnaeus, 1758: 437",,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Pseudopachybrachius vinctus,Pseudopachybrachius,vinctus,"Say, 1831",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,"family is mostly seed feeding, some sap feeding, a couple known predators (such as the wekiu bug, which is from Hawaii and not in our sites)",n.d.,,na,unknown,unknown,5098,4813,,Ka,Oa,Mo,,,Ma,Ha,guess,,,,,,,,,,Nu,,,,,,,
HETEROPTERA,Miridae,,,Pycnoderes quadrimaculatus,Pycnoderes,quadrimaculatus,"Guerin-Meneville, 1857",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,?,herbivore,family is mostly herbivorous,Portulaca sp.,"beans, Cucumis dipsaceus, cucumber, dishloth gourd, garden bean, lima bean, okra, pole bean, Portulaca, pumpkin, spiny cucumber, squash, sweet potato, white mustart cabbage. ",na,"lower, middle",,5260,4966,,Ka,Oa,Mo,,,Ma,Ha,"Zimmerman 1948, Swezey 1954",,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Reclada moesta,Reclada,moesta,"White, 1878",adv,no,no,no,no,no,no,prob not,3.5mm,herbivore,"may be herbivorous, may be predaceous","Euphorbia sp., Pritchardia sp.","bunch grass, ",na,"lower, middle, canopy",,5101,4814,,Ka,Oa,,,,,,"Zimmerman 1948, White, 1878 ",,,,,,,,,Na,,,,,,,,
HETEROPTERA,Lygaeidae,,,Remaudiereana nigriceps,Remaudiereana,nigriceps,"Dallas, 1852",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,"family is mostly seed feeding, some sap feeding, a couple known predators (such as the wekiu bug, which is from Hawaii and not in our sites)",n.d.,,na,unknown,unknown,5102,4815,,Ka,Oa,Mo,Ln,,Ma,Ha,catch,,,,,,,,,,Nu,,,,,,,
HETEROPTERA,Miridae,,,Rhinacloa forticornis,Rhinacloa,forticornis,"Reuter, 1876",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,family is mostly herbivorous,n.d.,,na,unknown,on leaves or stems,5261,4967,,Ka,Oa,Mo,Ln,,Ma,Ha,guess,,,,,,,,,Na,,,,,,,,
